,Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
0,11,0.01,0.05,0.1,5000,1000,10,500,9,0,10,0.0,0.0,0.0,0.0,,0.0746887966804979,0.0746887966804979,10,9
0,11,0.01,0.05,0.1,5000,1000,20,500,19,0,20,0.0,0.0,0.0,0.0,,0.079002079002079,0.079002079002079,20,19
0,11,0.01,0.05,0.1,5000,1000,30,500,29,0,30,0.0,0.0,0.0,0.0,,0.0804438280166435,0.0804438280166435,30,29
0,11,0.01,0.05,0.1,5000,1000,40,500,38,0,40,0.0,0.0,0.0,0.0,,0.0790842872008324,0.0790842872008324,40,38
0,11,0.01,0.3,0.0,100000,0,10,500,0,10,0,1.0,1.0,1.0,1.0,47.2,0.0,0.0049987503124218,10,10
0,11,0.01,0.3,0.0,100000,0,20,500,0,20,0,1.0,1.0,1.0,1.0,51.2,0.0,0.0049993750781152,20,20
0,11,0.01,0.3,0.0,100000,0,30,500,110,30,0,0.2142857142857142,1.0,1.0,0.3529411764705882,46.43333333333333,0.0183318056828597,0.0233313890509124,30,140
0,11,0.01,0.3,0.0,100000,0,40,500,1,40,0,0.975609756097561,1.0,1.0,0.9876543209876544,48.6,0.0001249921879882,0.0051246797075182,40,41
0,11,0.01,0.3,0.0,100000,1000,10,500,11,19,0,0.6333333333333333,1.0,1.0,0.7755102040816326,281.6,0.0054441969809453,0.0148478099480326,10,30
0,11,0.01,0.3,0.0,100000,1000,20,500,3,20,0,0.8695652173913043,1.0,1.0,0.9302325581395348,540.1,0.0007424823660438,0.0056923648063358,20,23
0,11,0.01,0.3,0.0,100000,1000,30,500,20,30,0,0.6,1.0,1.0,0.7499999999999999,522.4333333333333,0.0033000577510106,0.0082501443775266,30,50
