,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
192055,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0
192056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192164,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
192195,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
192463,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
193573,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
193584,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
193665,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
195022,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
195074,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
195303,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
196191,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
197756,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
198434,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
198498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
203001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203415,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
203416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203447,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
203636,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
203713,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
204314,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
204316,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
204502,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0
204503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204612,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
204702,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
